"pop2024","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
49082,47107,0,"El Dorado Hills",48.46,38.6761,-121.048,"el-dorado-hills-ca","CA",-121.048,38.6761,188,1013
48931,51082,-0.00871,"Rosemead",5.162,34.0689,-118.083,"rosemead-ca","CA",-118.083,34.0689,189,9479
48348,49312,-0.00658,"Ceres",9.356,37.5991,-120.968,"ceres-ca","CA",-120.968,37.5991,190,5168
48083,48660,0,"North Highlands",8.812,38.6713,-121.372,"north-highlands-ca","CA",-121.372,38.6713,191,5457
48013,50171,-0.01265,"Cypress",6.613,33.8185,-118.038,"cypress-ca","CA",-118.038,33.8185,192,7260
47894,50154,-0.00962,"Azusa",9.667,34.1385,-117.912,"azusa-ca","CA",-117.912,34.1385,193,4954
47756,45675,0.00751,"Los Banos",9.993,37.0632,-120.84,"los-banos-ca","CA",-120.84,37.0632,194,4779
47727,51173,-0.01812,"Covina",7.028,34.0905,-117.882,"covina-ca","CA",-117.882,34.0905,195,6791
47668,47612,0.00375,"Newark",13.875,37.5041,-122.032,"newark-ca","CA",-122.032,37.5041,196,3436
47629,48468,0,"Antelope",6.836,38.7153,-121.361,"antelope-ca","CA",-121.361,38.7153,197,6967
47418,48779,-0.00691,"Poway",39.079,32.9877,-117.022,"poway-ca","CA",-117.022,32.9877,198,1213
47209,49914,0,"Rowland Heights",13.075,33.9703,-117.891,"rowland-heights-ca","CA",-117.891,33.9703,199,3611
46422,43468,0.01903,"Oakley",15.863,37.9961,-121.694,"oakley-ca","CA",-121.694,37.9961,200,2926
46002,41909,0.01977,"Hollister",7.348,36.8563,-121.398,"hollister-ca","CA",-121.398,36.8563,201,6260
45919,47477,-0.01156,"Brea",12.158,33.9252,-117.865,"brea-ca","CA",-117.865,33.9252,202,3777
45745,49402,-0.01856,"Cerritos",8.722,33.8677,-118.069,"cerritos-ca","CA",-118.069,33.8677,203,5245
45511,44624,0.00317,"Palm Springs",94.545,33.8034,-116.538,"palm-springs-ca","CA",-116.538,33.8034,204,481
45486,47873,-0.0134,"Rancho Santa Margarita",12.895,33.6323,-117.599,"rancho-santa-margarita-ca","CA",-117.599,33.6323,205,3527
45151,47839,-0.01281,"La Mirada",7.822,33.902,-118.009,"la-mirada-ca","CA",-118.009,33.902,206,5772
44652,44403,0.01036,"Lompoc",11.623,34.6627,-120.471,"lompoc-ca","CA",-120.471,34.6627,207,3842
44147,45492,-0.00927,"Morgan Hill",12.996,37.1325,-121.642,"morgan-hill-ca","CA",-121.642,37.1325,208,3397
43832,44436,-0.0056,"Rohnert Park",7.003,38.3482,-122.699,"rohnert-park-ca","CA",-122.699,38.3482,209,6259
43419,42025,0.00677,"Coachella",30.076,33.6905,-116.143,"coachella-ca","CA",-116.143,33.6905,210,1444
43031,44207,-0.00898,"El Centro",11.509,32.7864,-115.558,"el-centro-ca","CA",-115.558,32.7864,211,3739
42719,43037,0,"Altadena",8.466,34.1922,-118.136,"altadena-ca","CA",-118.136,34.1922,212,5046
42657,39800,0,"Vineyard",17.203,38.4745,-121.319,"vineyard-ca","CA",-121.319,38.4745,213,2480
41608,43527,-0.01333,"Danville",18.077,37.8121,-121.97,"danville-ca","CA",-121.97,37.8121,214,2302
41352,43831,-0.01117,"Campbell",6.074,37.2802,-121.953,"campbell-ca","CA",-121.953,37.2802,215,6808
41239,39057,0,"French Valley",10.873,33.5995,-117.106,"french-valley-ca","CA",-117.106,33.5995,216,3793
40806,37938,0.02325,"Stanton",3.097,33.8003,-117.993,"stanton-ca","CA",-117.993,33.8003,217,13176
39901,43783,-0.02004,"San Bruno",5.474,37.6254,-122.431,"san-bruno-ca","CA",-122.431,37.6254,218,7289
39808,29052,0.08354,"Lathrop",19.826,37.8087,-121.318,"lathrop-ca","CA",-121.318,37.8087,219,2008
39477,38128,0.00887,"Adelanto",52.905,34.5809,-117.439,"adelanto-ca","CA",-117.439,34.5809,220,746
39069,42140,-0.01832,"Rancho Palos Verdes",13.472,33.7531,-118.368,"rancho-palos-verdes-ca","CA",-118.368,33.7531,221,2900
38838,37630,0.00577,"La Quinta",35.259,33.6461,-116.275,"la-quinta-ca","CA",-116.275,33.6461,222,1102
38618,37410,0,"La Presa",5.498,32.7123,-117.004,"la-presa-ca","CA",-117.004,32.7123,223,7024
38571,40675,-0.01209,"Culver City",5.111,34.0058,-118.397,"culver-city-ca","CA",-118.397,34.0058,224,7547
37667,38533,-0.00767,"Calexico",8.619,32.6849,-115.494,"calexico-ca","CA",-115.494,32.6849,225,4370
37635,35711,0,"Foothill Farms",4.198,38.6867,-121.347,"foothill-farms-ca","CA",-121.347,38.6867,226,8965
37248,36912,0.00046,"Wildomar",23.688,33.6173,-117.258,"wildomar-ca","CA",-117.258,33.6173,227,1572
37068,39449,-0.01425,"San Gabriel",4.145,34.0946,-118.098,"san-gabriel-ca","CA",-118.098,34.0946,228,8943
37062,37904,-0.00872,"Montclair",5.515,34.0715,-117.698,"montclair-ca","CA",-117.698,34.0715,229,6720
36671,39379,-0.01684,"Bell Gardens",2.459,33.9644,-118.154,"bell-gardens-ca","CA",-118.154,33.9644,230,14913
35852,35030,0,"Orangevale",11.467,38.6894,-121.223,"orangevale-ca","CA",-121.223,38.6894,231,3127
